Date,series,OPEN,HIGH,LOW,PREV.CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
14-Jun-2018,EQ,308.50,309.60,303.80,308.40,306.30,305.90,305.76,470.75,281.6,"65,32,693","1,99,74,17,558.15","80,887"
15-Jun-2018,EQ,305.75,307.65,300.55,305.90,302.70,302.95,303.97,470.75,281.6,"82,24,497","2,50,00,27,887.30","79,750"
18-Jun-2018,EQ,302.90,311.00,302.10,302.95,308.75,308.80,307.93,470.75,281.6,"87,87,098","2,70,58,15,363.85","82,374"
19-Jun-2018,EQ,309.60,312.80,303.30,308.80,304.95,305.05,307.64,470.75,281.6,"1,04,98,362","3,22,97,62,608.20","1,07,623"
20-Jun-2018,EQ,304.90,308.25,304.05,305.05,306.00,305.60,305.96,470.75,281.6,"66,07,472","2,02,16,18,632.95","73,070"
21-Jun-2018,EQ,307.90,308.50,305.50,305.60,307.00,307.00,306.97,470.75,281.6,"50,85,379","1,56,10,77,345.20","71,956"
22-Jun-2018,EQ,306.85,308.90,303.20,307.00,308.00,308.00,306.75,470.75,281.6,"60,33,095","1,85,06,58,033.00","63,203"
25-Jun-2018,EQ,306.30,306.30,287.60,308.00,288.55,289.40,295.25,468.35,281.6,"1,63,92,183","4,83,98,38,510.75","1,37,622"
26-Jun-2018,EQ,288.40,288.40,275.10,289.40,276.60,276.85,279.88,468.35,275.1,"3,07,28,620","8,60,03,67,039.80","2,78,717"
27-Jun-2018,EQ,278.50,279.50,270.00,276.85,270.75,271.05,274.66,468.35,270.0,"1,90,77,416","5,23,97,79,925.95","1,45,982"
28-Jun-2018,EQ,272.00,272.65,261.85,271.05,263.95,263.35,266.95,468.35,261.85,"1,95,07,165","5,20,73,57,750.45","1,50,587"
29-Jun-2018,EQ,265.45,270.50,262.65,263.35,268.90,269.30,267.52,468.35,261.85,"1,47,65,516","3,95,00,91,910.50","1,45,708"
02-Jul-2018,EQ,276.00,276.05,265.60,269.30,266.55,266.70,269.57,468.35,261.85,"1,64,95,647","4,44,66,97,752.20","1,47,046"
03-Jul-2018,EQ,269.50,271.50,267.20,266.70,270.20,269.45,269.65,468.35,261.85,"1,14,84,332","3,09,67,50,523.95","89,247"
04-Jul-2018,EQ,270.00,271.50,265.65,269.45,267.10,267.05,267.98,468.35,261.85,"73,94,858","1,98,17,06,496.70","62,376"
05-Jul-2018,EQ,263.50,263.75,252.55,267.05,263.40,261.55,259.45,468.35,252.55,"2,08,20,454","5,40,19,64,649.60","1,69,287"
06-Jul-2018,EQ,262.00,272.50,261.85,261.55,269.50,270.85,270.22,468.35,252.55,"1,92,15,897","5,19,25,07,548.05","1,38,208"
09-Jul-2018,EQ,274.60,277.00,272.05,270.85,273.15,273.50,274.78,468.35,252.55,"93,87,556","2,57,95,04,841.95","81,141"
10-Jul-2018,EQ,274.90,276.90,272.90,273.50,275.25,275.45,275.20,468.35,252.55,"63,51,033","1,74,77,87,025.65","76,101"
11-Jul-2018,EQ,276.40,276.40,267.10,275.45,267.80,267.80,270.35,468.35,252.55,"73,56,582","1,98,88,33,726.25","77,867"
12-Jul-2018,EQ,269.60,272.00,265.50,267.80,265.95,266.10,268.30,468.35,252.55,"85,73,517","2,30,02,76,551.25","83,180"
13-Jul-2018,EQ,267.30,269.40,262.70,266.10,263.00,263.60,265.90,468.35,252.55,"83,52,827","2,22,10,27,464.80","76,239"
16-Jul-2018,EQ,260.50,260.80,250.50,263.60,253.00,252.10,255.63,468.35,250.5,"1,10,67,012","2,82,90,11,065.85","1,04,331"
17-Jul-2018,EQ,253.00,259.00,252.30,252.10,258.55,257.95,256.55,468.35,250.5,"63,50,966","1,62,93,54,597.10","58,067"
18-Jul-2018,EQ,259.45,259.45,247.30,257.95,251.55,251.85,252.61,468.35,247.3,"93,48,644","2,36,15,21,356.70","99,282"
19-Jul-2018,EQ,254.00,257.85,251.20,251.85,252.70,252.50,254.54,468.35,247.3,"95,56,686","2,43,25,57,836.25","87,348"
20-Jul-2018,EQ,252.70,254.00,251.00,252.50,253.80,253.40,252.74,468.35,247.3,"64,22,014","1,62,31,02,951.00","47,230"
23-Jul-2018,EQ,254.95,259.50,251.10,253.40,257.95,258.75,255.87,468.35,247.3,"88,91,743","2,27,51,45,755.80","68,153"
24-Jul-2018,EQ,258.75,263.75,257.10,258.75,258.85,258.80,260.21,468.35,247.3,"99,06,160","2,57,76,77,192.65","87,393"
